URL,Name,Stars,Total_Reviews
https://play.google.com/store/apps/details?id=com.justeat.app.uk,Just Eat UK - Takeaway Delivery,4.7,"4,04,124"
https://play.google.com/store/apps/details?id=com.game.jam.food.games.best,Food Games 3D,4.2,"8,567"
https://play.google.com/store/apps/details?id=ru.foodfox.client,Яндекс.Еда — доставка еды/продуктов. Food delivery,3.3,"59,158"
https://play.google.com/store/apps/details?id=com.cts.kfcthailand,KFC Thailand-Online Food Ordering,4.6,"5,621"
https://play.google.com/store/apps/details?id=com.baijia.waimai,EASI MY - Hungry Food Delivery,2.7,"3,912"
https://play.google.com/store/apps/details?id=com.yourdelivery.pyszne,Pyszne.pl – order food online,4.4,"71,925"
https://play.google.com/store/apps/details?id=com.justeat.app.es,Just Eat ES - Order Food Online,4.7,"1,09,897"
https://play.google.com/store/apps/details?id=com.mcdonalds.mobileapp,McDonald's,3.1,"3,31,379"
https://play.google.com/store/apps/details?id=com.hungrypanda.waimai,HungryPanda - 熊猫外卖，海外中餐中超外卖App，异国他乡尽享家的味道,4.2,"6,061"
https://play.google.com/store/apps/details?id=pt.takeaway.android,Takeaway.com - Portugal,4.3,717
https://play.google.com/store/apps/details?id=at.mjam,mjam.at - Order Food Online,4.4,"30,122"
https://play.google.com/store/apps/details?id=com.talabat,talabat: Food & Grocery Delivery,4,"2,43,440"
https://play.google.com/store/apps/details?id=com.fme.HamburgerFever,Food Court Fever: Hamburger 3,4.4,"64,360"
https://play.google.com/store/apps/details?id=lk.thinksmart.mealfirst,Eat MealFirst - Food Delivery,3.8,122
https://play.google.com/store/apps/details?id=com.teamjin.deliveryk,DeliveryK(Korean food delivery app),4.7,915
https://play.google.com/store/apps/details?id=com.ca.fantuan.customer,Fantuan Delivery-饭团外卖,4.1,"2,254"
https://play.google.com/store/apps/details?id=com.covershootstudio.hot.dog.street.food.delivery,Hot Dog Delivery Food Truck,3.7,85
https://play.google.com/store/apps/details?id=com.tovo.eat,Eat From Home - Home Food Delivery,2.3,759
https://play.google.com/store/apps/details?id=ch.lieferservice.android,Takeaway.com - Switzerland,4.1,"1,051"
https://play.google.com/store/apps/details?id=br.com.tapps.bostondonuttruck,Boston Donut Truck - Fast Food Cooking Game,4,"10,590"
https://play.google.com/store/apps/details?id=co.lemonlabs.android.foodout,Foodout - Local Food Delivery,1.9,"3,950"
https://play.google.com/store/apps/details?id=com.scriptrepublic.phfooddeliverydirectory,PH Food Delivery - Directory,3.9,649
https://play.google.com/store/apps/details?id=org.openfoodfacts.scanner,Open Food Facts - Scan to get Nutriscore/EcoScore,4,"2,836"
https://play.google.com/store/apps/details?id=com.colorgame.tastykitchen,Food Diary: New Games 2020 & Girls Cooking games,4.1,"14,995"
https://play.google.com/store/apps/details?id=com.gameicreate.christmasstreetfoodtruck,Christmas Cooking : Crazy Food Fever Cooking Games,4.3,"6,754"
https://play.google.com/store/apps/details?id=com.ontech.onapp,MUNCH:ON - Food delivery,4.6,660
https://play.google.com/store/apps/details?id=com.deliverystar.consumer,Delivery Star,3.7,571
https://play.google.com/store/apps/details?id=com.hungerstation.android.web,"HungerStation - Food, Groceries Delivery & More",4.2,"78,155"
https://play.google.com/store/apps/details?id=com.innerchef.Activities,InnerChef: Fresh Food Online,3.5,"1,601"
https://play.google.com/store/apps/details?id=com.cympl.masalaexpressgame,Masala Express: Indian Restaurant Cooking Games,4.2,"1,04,700"
https://play.google.com/store/apps/details?id=com.app.Deliva_africa,Deliva : Food Order & Delivery,3,91
https://play.google.com/store/apps/details?id=com.uznewmax.theflash,Express24.uz - Express delivery app for Uzbekistan,4.7,"3,493"
https://play.google.com/store/apps/details?id=cz.ulikeit.damejidlo,Dáme jídlo: Local Food Delivery,4.4,"29,762"
https://play.google.com/store/apps/details?id=com.product.fatafat,Fatafat - Local Delivery,3.7,"2,284"
https://play.google.com/store/apps/details?id=com.nextwo.the_chefz,The Chefz- Best food delivery app,4,"1,411"
https://play.google.com/store/apps/details?id=com.railmitra.www,"Train PNR Status, Order Food in Train",4.4,473
https://play.google.com/store/apps/details?id=dk.boggie.madplan.android,Food Planner,3.7,"10,982"
https://play.google.com/store/apps/details?id=com.cympl.masalamadness,Masala Madness: Indian Food Truck Cooking Games,4.1,"11,981"
https://play.google.com/store/apps/details?id=cscmobi.cooking.travel.fast.restaurant,Cooking Travel - Food truck fast restaurant,4.3,"2,591"
https://play.google.com/store/apps/details?id=com.mobilesv.getmyfood,"Get: Food, Drinks and more",3.6,493
https://play.google.com/store/apps/details?id=com.cooking.family.diary.fever.food.city.craze.dream.kitchen.frenzy,Cooking Family : Madness Restaurant Food Game,4.5,"37,119"
https://play.google.com/store/apps/details?id=com.twins.allfoodzone,All In One Food Ordering App | Order Food Online,3.6,"3,326"
https://play.google.com/store/apps/details?id=com.wonderpillars.onlinekaka,OnlineKaka Order Food Online | Home Delivery,4.7,571
https://play.google.com/store/apps/details?id=com.coupang.mobile.eats,Coupang Eats - Rocket Delivery for Food,4.4,"30,538"
https://play.google.com/store/apps/details?id=com.olioex.android,OLIO - Share more. Care more. Waste less.,4.4,"15,051"
https://play.google.com/store/apps/details?id=com.foodbooking.kfcsuriname,KFC Suriname,2.5,804
https://play.google.com/store/apps/details?id=com.gf.pizza.delivery.boy.simulator.food.games,Van Pizza Delivery Boy: Food Games,4,261
https://play.google.com/store/apps/details?id=com.cgff.mounted.horse.riding.pizza.guy.food.delivery,Mounted Horse Riding Pizza Guy: Food Delivery Game,4,"1,886"
https://play.google.com/store/apps/details?id=ch.foodarena.android,Foodarena - Order Food,4.3,"1,138"
https://play.google.com/store/apps/details?id=com.foodybuddyapplications.foodybuddy,FoodyBuddy,4,"1,891"
https://play.google.com/store/apps/details?id=com.kfc.me,KFC UAE (United Arab Emirates),4.6,"7,771"
https://play.google.com/store/apps/details?id=com.tabtale.unicorn.food,Unicorn Food - Rainbow Glitter Food & Fashion,4,"43,275"
https://play.google.com/store/apps/details?id=com.freakingfreegames.pizza.delivery.girl.food.game,Moto Bike Pizza Delivery – Girl Food Game,4,"22,035"
https://play.google.com/store/apps/details?id=com.trainfood.yb,TRAIN FOOD - RAILWAY,3.7,581
https://play.google.com/store/apps/details?id=com.urbanpiper.chaipoint,ChaiPoint Food & Tea Delivery,2.7,"1,412"
https://play.google.com/store/apps/details?id=com.foodbooking.mcdeliverysu,McDelivery Su,2.7,473
https://play.google.com/store/apps/details?id=order.food.online.delivery.offers.deal,All in One Food Ordering App - Order Online Food,3.8,171
https://play.google.com/store/apps/details?id=com.nuttygames.food.court.cooking.game,Food Court Cooking Game - Crazy Chef’s Restaurant,3.9,"13,868"
https://play.google.com/store/apps/details?id=com.junismile.superfood.de,SuperFood - Healthy Recipes,4.6,"3,034"
https://play.google.com/store/apps/details?id=com.mymameals.mainapp,Myma - Home Cooked Food,3.4,223
https://play.google.com/store/apps/details?id=com.myapp.thewowfood,Wow Food: Food Order & Delivery,2.8,173
https://play.google.com/store/apps/details?id=com.licious,"Licious- Fresh Chicken, Fish, Mutton & Eggs Online",3.9,"35,436"
https://play.google.com/store/apps/details?id=com.snt.travelerfood,"Traveler Food-Food in Trains,Check Pnr,Check Seat",3.7,323
https://play.google.com/store/apps/details?id=com.rg.home.bakery.food.delivery.games,My Home Bakery Food Delivery Games,3.8,"2,231"
https://play.google.com/store/apps/details?id=com.bigag.cooking.day.restaurant,"Cooking Day - Indian Restaurant Craze, Chef Games",4.1,"23,163"
https://play.google.com/store/apps/details?id=com.t2s.foodhub,Foodhub - Online Takeaways,4.3,"19,779"
https://play.google.com/store/apps/details?id=com.behrouzbiryani,Behrouz Biryani - Order Biryani Online,4.2,"8,832"
https://play.google.com/store/apps/details?id=az.sip.citycarrierhungryaz,Hungry.az - food ordering,4.2,859
https://play.google.com/store/apps/details?id=com.order.food,Food Order Swiggy UberEats Zomato FoodPanda Online,3.7,587
https://play.google.com/store/apps/details?id=fi.seehowyoueat.shye,See How You Eat Food Diary App,4.2,"1,053"
https://play.google.com/store/apps/details?id=dnk.wibrate.me,Wibrate-Get Delivery of food & groceries for free,3.8,"4,802"
https://play.google.com/store/apps/details?id=hells.cooking.crazy.chef.burger.kitchen.fever.food,"Hell’s Cooking: crazy burger, kitchen fever tycoon",4.5,"51,131"
https://play.google.com/store/apps/details?id=com.tapblaze.pizzabusiness,"Good Pizza, Great Pizza",4.4,"8,88,815"
https://play.google.com/store/apps/details?id=com.ne.sports.speedy.city.car.food.delivery.restaurant,Speedy Car City Food Delivery: Restaurant Games 3D,3.5,49
https://play.google.com/store/apps/details?id=com.dicedpixel.foodevolution,Food Evolution - Clicker Game,4.6,"90,444"
https://play.google.com/store/apps/details?id=ua.menu.app,Menu.ua — restaurant food delivery,1.8,"1,131"
https://play.google.com/store/apps/details?id=com.arv.deliver.me.food.delivery.arcade.game,Deliver Me: Food Delivery Arcade Games,4.9,244
https://play.google.com/store/apps/details?id=az.crbn.delivery189,189 DELIVERY- Food and Flower Delivery,3.7,328
https://play.google.com/store/apps/details?id=food.scanner,Food Scanner – free barcode scanner for nutrition,1.6,297
https://play.google.com/store/apps/details?id=com.halalize.delivery,Halalize – Halal Food Online Delivery Bangkok,4,162
https://play.google.com/store/apps/details?id=air.com.gamegos.mobile.cookingtale,Cooking Tale - Food Games,4.5,"1,48,937"
https://play.google.com/store/apps/details?id=com.food.calories,Calories in food,4.5,"46,967"
https://play.google.com/store/apps/details?id=com.kriti.biriyani247,Biryani247- Food Delivery | Order Online,3.1,"1,166"
https://play.google.com/store/apps/details?id=com.crazycatsmedia.android_make_airplanefood,Airplane Food Maker,3.8,"7,503"
https://play.google.com/store/apps/details?id=com.cookingmania2.cookinggames.kitchencraze.cookingcraze.cookingfever,Cooking Mania - Girls Games Food Craze Restaurant,4.3,"15,098"
https://play.google.com/store/apps/details?id=com.foodbooking.clientapp,FoodBooking,3.1,516
https://play.google.com/store/apps/details?id=com.omniluxtrade.allrecipes,All Recipes Free - Food Recipes App,4.4,"10,032"
https://play.google.com/store/apps/details?id=de.lieferservice.android,Lieferservice.de,4.4,"6,990"
https://play.google.com/store/apps/details?id=com.appon.patialababes,Restaurant City: Food Fever - Cooking games,4.2,"39,349"
https://play.google.com/store/apps/details?id=com.dailybits.foodjournal,iEatBetter: Food Diary,4.3,"21,845"
https://play.google.com/store/apps/details?id=com.taphappy.happykitchenworld.free,Happy Kitchen World,3.9,"2,374"
https://play.google.com/store/apps/details?id=com.timesinternet.timesrecipes,"Times Food App: Indian Recipe Videos, Cooking Tips",4.3,295
https://play.google.com/store/apps/details?id=bike.taxideliveryjob,Bike Taxi Job & Delivery Job : Delivery Job Finder,4.1,235
https://play.google.com/store/apps/details?id=com.fymoapp,Fymo - Food You Are Missing Out,3.8,297
https://play.google.com/store/apps/details?id=com.fractiongamestudio.bmx.pizza.bicyle.delivery,BMX Bicycle Pizza Delivery Boy 2019,3.8,"1,120"
https://play.google.com/store/apps/details?id=com.rewedigital.shop,REWE - Online Shop & Märkte,4.5,"30,664"
https://play.google.com/store/apps/details?id=com.freshtohome,"Fresh To Home - Order Chicken, Raw Seafood & Meat",4.2,"47,824"
https://play.google.com/store/apps/details?id=com.taplane.foodquizm,"Guess the Food, Multiple Choice Game",4.1,"8,375"
https://play.google.com/store/apps/details?id=com.peytu.bestbefore,Best Before - Food Tracker,4.4,485
https://play.google.com/store/apps/details?id=com.casualjoygames.cooking.kitchen,Crazy Chef: Food Truck Restaurant Cooking Game,4.6,"2,05,989"
https://play.google.com/store/apps/details?id=com.gamehouse.deliciousdinercooking,Delicious World - Cooking Restaurant Game,4.5,"1,22,668"
https://play.google.com/store/apps/details?id=com.ginortcar.recetas.comida.casera,Homemade food recipes for free,4.5,"1,991"
https://play.google.com/store/apps/details?id=com.skylinedynamics.bk,Burger King Arabia,3.2,"1,549"
https://play.google.com/store/apps/details?id=com.riatech.cookbook,Cookbook Recipes,4.4,"49,599"
https://play.google.com/store/apps/details?id=com.pizza.food.hotdog.simgame,Happy Cooking: Chef Fever,4.6,"37,381"
https://play.google.com/store/apps/details?id=com.gast.moto.pizzadelivery.bike.rider.games,Delivery Pizza Boy Driving Simulator New Bike Game,3.8,"2,371"
https://play.google.com/store/apps/details?id=com.sms.pizza.maker.delivery.boy.games,Bake Pizza Games - Pizza Maker Games-Delivery Game,4.6,"3,865"
https://play.google.com/store/apps/details?id=com.befit.mealreminder,Meal Reminder - Weight Loss,4.3,"19,886"
https://play.google.com/store/apps/details?id=com.rr.motopizza.deliveryboy.foodorder,Big Pizza Delivery Boy Simulator,3.7,"7,059"
https://play.google.com/store/apps/details?id=nithra.samayalkurippu,Samayal Tamil - தமிழ் சமையல்,4.5,"26,082"
https://play.google.com/store/apps/details?id=com.juniorgames.cooking.street.fast.food.stand,Fast Food Stand - Fried Food Cooking Game,4.1,"4,445"
https://play.google.com/store/apps/details?id=lt.meniu,Meniu.lt – Food delivery,3.6,61
https://play.google.com/store/apps/details?id=com.hipdiner.r98246.prod,SUBWAY® Romania,3.8,669
https://play.google.com/store/apps/details?id=com.justdial.search,"JD -Search, Shop, Travel, Food, Live TV, News",4,"3,28,234"
https://play.google.com/store/apps/details?id=in.dmart,DMart Ready - Online Grocery Shopping,4.1,"41,802"
https://play.google.com/store/apps/details?id=com.fourtechnologies.mynetdiary.ad,"Calorie Counter - MyNetDiary, Food Diary Tracker",4.6,"44,393"
https://play.google.com/store/apps/details?id=uz.bringo,Bringo - food delivery in Tashkent,3.6,382
https://play.google.com/store/apps/details?id=com.girls.fashion.entertainment.Cooking.Kingdom.Food.Empire.My.Sweet.Bakery.Shop,Cooking Kingdom Food Empire: My Sweet Bakery Shop,3.6,195
https://play.google.com/store/apps/details?id=com.rbgs.smart.taxi.driving.pizza.delivery.simulator,Formula Car Pizza Delivery New Car Driving Game,4.4,"1,045"
https://play.google.com/store/apps/details?id=com.ags.pizza.delivery.factory,Pizza Factory Delivery: Food Baking Cooking Game,3.7,"4,941"
https://play.google.com/store/apps/details?id=com.cookingcity.chef.kitchen.craze.fever,"Cooking City: chef, restaurant & cooking games",4.5,"2,31,449"
https://play.google.com/store/apps/details?id=com.techandaz.mealminion,Grab Your Meal,5,11
https://play.google.com/store/apps/details?id=com.mas3dstudio.motopizzadelivery,Moto Pizza Delivery: Free Bike Game,3.6,"62,519"
https://play.google.com/store/apps/details?id=com.pathao.user,Pathao,4.2,"70,741"
https://play.google.com/store/apps/details?id=com.cookware.diabeticrecipes,Diabetic Recipes : Healthy Food,4.2,"1,245"
https://play.google.com/store/apps/details?id=com.Biryani.Cooking.Indian.Super.Chef.Food.Game,Biryani Cooking Indian Super Chef Food Game,3.5,"1,072"
https://play.google.com/store/apps/details?id=com.funbytesstudio.fast.food.maker.kitchen,Fast Food Maker Kitchen : Burger Pizza Delivery ,3.8,141
https://play.google.com/store/apps/details?id=com.smg.food.truck.simulator,Food Truck Driving 2019: Ice Cream Factory,3.6,688
https://play.google.com/store/apps/details?id=com.gp.bikedriving.homedelivery.boysimulator,Hot Pizza Delivery Bike Boy,3.8,"2,597"
https://play.google.com/store/apps/details?id=com.pleaseit.please,Please - Livraison de restaurants et commerces,4,"4,360"
https://play.google.com/store/apps/details?id=in.swiggy.partnerapp,Swiggy Partner App,4,"27,656"
https://play.google.com/store/apps/details?id=com.appon.kitchenstory,Kitchen Story : Cooking Game,4.2,"1,57,557"
https://play.google.com/store/apps/details?id=com.sms.fast.food.maker.restaurant.games,Fast Food Maker Restaurant-Cooking Games For Girls,4.8,749
https://play.google.com/store/apps/details?id=com.juniorgames.girls.cooking.chinese.food,Chinese Food - Cooking Game,4.1,"3,841"
https://play.google.com/store/apps/details?id=com.softcityec.snapeats,Snap eats - Delivery,4.2,198
https://play.google.com/store/apps/details?id=com.cooking.games.fever.food.city.craze.dream,Cooking Dream,4.5,"66,018"
